Name,Rank,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited
Universidade Estadual de Campinas,1,198,1.090716161616162,1428,55.55555555555556

Filter Summary:
Dataset: InCites Dataset
Schema:  Web of Science
Organization Name:  [Universidade Estadual de Campinas]
Research Area:  [ECONOMICS]

"Exported date  2019-08-23. "
"InCites dataset updated  2019-07-31. Includes Web of Science content indexed through 2019-06-27. "
